dateid,categoryid,countryid,totalsales
1,4,44,47.8431301845105
1,2,30,33.218670645948166
1,3,28,51.51473397725886
1,3,16,50.4802899281416
1,3,34,51.29503938573495
1,1,44,42.50397141379561
2,2,48,28.687930689909006
2,3,36,51.51466159248823
2,2,22,58.412358827888724
2,2,35,51.456528445970164
2,2,33,48.06618157945111
2,1,55,42.444735132074484
2,2,13,53.03158301066263
2,4,1,53.675830638434405
2,1,20,41.441284279659776
2,3,33,43.40422951417834
2,2,43,48.5042903752469
2,3,47,69.90507679742518
3,2,23,49.71095171831596
3,2,29,41.879543147570665
4,2,18,56.19613266885745
4,3,23,45.056845364978656
4,1,15,50.620122062050086
5,1,38,49.27896153200198
5,1,55,34.07707078451226
5,1,5,50.20723184751503
5,3,42,49.2566583680889
5,2,50,37.902162637049
6,2,33,58.38726701209947
6,4,38,56.188085228667504
6,3,25,57.933588525215356
6,1,44,33.32177143729276
6,1,26,69.03391191067911
6,4,5,41.86460525484821
6,3,8,47.80460760262492
7,4,44,45.61063385745132
7,2,27,67.40838472033099
7,4,29,54.17780188486074
7,1,53,42.623857519921906
7,1,4,46.42997042006015
7,4,27,49.065100297825246
8,1,43,57.688411323463995
8,4,46,41.082567649051995
8,4,31,48.074901823440015
8,4,44,41.186101284168515
8,3,51,61.84017860238538
8,2,35,54.390321804745476
9,4,18,47.750957478671864
9,2,23,35.664108464299375
10,1,34,54.63218470575225
10,3,28,51.22525892216918
10,2,20,49.88084596067939
10,4,52,46.17005535739864
11,1,45,58.21943227641451
11,2,19,39.15970515876502
11,4,14,48.1235938270235
12,3,27,33.09757569649068
12,3,32,52.28395474485367
12,4,1,53.57373910778787
12,3,44,54.76290781688216
13,1,5,46.10926479768746
13,4,41,69.6547340051224
13,3,47,39.49815364974074
13,2,47,49.05011578177147
14,4,12,58.73532563147002
14,2,9,45.89579883011494
14,4,18,55.74417567474614
14,1,17,56.08964962828419
14,3,39,42.30957435659636
15,3,51,43.89046551639219
15,3,55,52.48821721931968
15,4,9,42.82212201764911
15,1,42,37.9427727594551
15,2,35,28.633897866128475
15,1,24,38.61578896836387
16,1,19,47.26169374508333
16,3,18,59.07894795922993
16,2,30,25.88786654959119
16,1,20,56.21418910880464
17,2,39,51.32189153692245
17,1,22,69.66748325721008
18,1,5,52.96447758651012
18,3,9,41.41751971741236
18,2,12,52.85731777692003
18,4,34,48.78066797954622
18,3,30,57.275107627790945
18,2,12,66.2582504311661
19,2,21,51.433479480453855
19,4,22,34.92888165406233
19,1,34,48.555724561621
20,4,52,46.08929720936988
20,2,32,53.91138315914173
20,4,38,40.98837017820376
20,2,42,48.792886986028584
20,1,19,66.83946217611276
20,2,45,53.51323917702377
20,4,14,50.546784135592084
21,2,32,42.23976978999792
21,2,49,50.52427014077525
21,1,26,43.45513628620209
22,3,14,48.397763611486575
22,3,54,63.11957321529829
22,4,5,40.46717635601368
22,3,18,60.59369899782382
23,2,24,49.1988995238776
23,4,11,55.5303824090403
23,3,13,58.42332375475052
24,2,54,50.18414869895675
24,1,21,52.00061829890078
24,1,47,51.51110925887912
24,3,49,38.651663682741635
24,4,39,40.500667021855016
24,1,11,54.30473707288722
24,2,23,44.40561323182478
24,2,42,58.88085582691426
25,2,36,60.23276967021157
26,4,54,55.784031120124354
26,3,18,50.01865150641537
26,4,53,47.43863803787639
26,1,5,63.5553760454294
26,1,2,42.14090606917958
26,1,48,23.705508556027258
26,2,3,57.300877281991205
27,4,48,63.847900662879674
27,1,2,34.820280805302154
28,4,41,47.05701893821768
28,4,10,62.15051120563175
28,4,16,50.325849365865196
28,4,28,49.056667173720285
29,2,47,39.29899496813267
29,3,31,51.28886371529429
29,1,21,35.58438742202726
29,4,34,53.743157740456816
30,2,47,50.608445272721426
30,1,35,74.57749698693381
30,4,17,58.935418936857495
30,2,5,45.442858976162626
30,1,39,54.92170009079596
30,1,46,66.44027835310938
30,1,33,41.551728774009916
31,3,3,67.76663972838088
31,4,35,43.59140418908834
31,3,20,49.92766833360274
31,1,32,53.02493306220768
31,3,49,69.4432931205057
31,1,39,44.220562861168034
32,4,17,40.10474456939653
32,1,33,48.10720481744179
32,4,30,45.69921754666568
32,3,49,44.85684110475336
32,2,52,52.54593632880821
32,4,48,59.83398305360687
33,3,7,60.446014917467636
33,1,32,54.24259212822958
33,2,20,69.64153988292335
33,2,37,65.6176134084646
33,2,12,55.62659277400359
34,2,19,52.34573727049725
34,4,7,38.612351189157735
34,1,25,42.174860235514394
35,3,50,58.30614534410388
35,2,2,58.72559275936277
35,3,23,54.11537163322259
35,2,54,52.34947730277183
36,4,39,35.17780346000321
36,1,36,54.89252487748083
37,4,14,38.48509250184958
37,3,42,30.6469902706788
37,2,13,42.919154594302995
37,1,15,54.309432830675604
37,4,48,41.06118990793183
38,3,39,61.248156843401034
38,1,33,69.87319871944102
38,1,28,42.8695069323952
38,4,45,42.882594031694616
38,3,51,67.75107566655917
39,4,26,59.517321983676155
39,4,36,56.851976225244286
39,2,54,62.62243101910149
39,3,40,65.8676783898256
40,2,18,50.33476840888424
40,4,35,78.52054608610635
